#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Season
24,Allan Houston,NYK,9,360.0,173,58,133,0.436,26,52,0.5,31,35,0.886,3,20,23,21,6,3,24,14,1996-1997
25,Mookie Blaylock,ATL,10,441.0,164,61,154,0.396,28,85,0.329,14,21,0.667,12,58,70,65,21,2,35,15,1996-1997
26,Penny Hardaway,ORL,5,220.0,155,52,111,0.468,11,30,0.367,40,54,0.741,7,23,30,17,12,7,9,14,1996-1997
27,Dikembe Mutombo,ATL,10,415.0,154,54,86,0.628,0,0,0.0,46,64,0.719,37,86,123,13,1,26,20,30,1996-1997
28,Toni Kukoc,CHI,19,423.0,150,45,125,0.36,19,53,0.358,41,58,0.707,13,41,54,54,13,4,17,30,1996-1997
29,Ron Harper,CHI,19,515.0,142,50,125,0.4,21,61,0.344,21,28,0.75,20,61,81,57,24,14,11,43,1996-1997
30,Dan Majerle,MIA,17,496.0,136,46,117,0.393,25,74,0.338,19,28,0.679,16,56,72,43,21,4,13,31,1996-1997
31,Eddie Johnson,HOU,16,284.0,133,48,117,0.41,14,47,0.298,23,24,0.958,15,21,36,10,5,0,7,17,1996-1997
32,Nick Van Exel,LAL,9,353.0,130,45,119,0.378,12,44,0.273,28,34,0.824,6,25,31,58,10,0,18,19,1996-1997
33,John Starks,NYK,9,253.0,126,44,99,0.444,13,41,0.317,25,31,0.806,7,24,31,25,10,0,20,25,1996-1997
34,Luc Longley,CHI,19,432.0,124,57,104,0.548,0,0,0.0,10,26,0.385,39,45,84,35,7,16,28,65,1996-1997
35,Larry Johnson,NYK,9,295.0,124,43,77,0.558,6,17,0.353,32,38,0.842,11,25,36,23,7,1,15,27,1996-1997
36,P.J. Brown,MIA,15,451.0,122,42,103,0.408,0,0,0.0,38,53,0.717,48,81,129,10,9,20,16,40,1996-1997
37,Rex Chapman,PHX,5,191.0,121,41,83,0.494,22,48,0.458,17,25,0.68,2,14,16,13,2,0,15,14,1996-1997
38,Grant Hill,DET,5,203.0,118,45,103,0.437,0,0,0.0,28,39,0.718,13,21,34,27,4,5,19,14,1996-1997
39,Bison Dele,CHI,19,336.0,116,50,104,0.481,0,0,0.0,16,31,0.516,31,40,71,11,19,8,14,63,1996-1997
40,Howard Eisley,UTA,20,217.0,112,38,76,0.5,9,19,0.474,27,28,0.964,4,14,18,40,3,0,17,27,1996-1997
41,Terry Cummings,SEA,12,292.0,106,45,92,0.489,0,0,0.0,16,24,0.667,28,44,72,14,11,6,14,39,1996-1997
42,Tyrone Corbin,ATL,10,364.0,106,42,92,0.457,13,37,0.351,9,9,1.0,12,31,43,20,4,2,14,29,1996-1997
43,Elden Campbell,LAL,9,278.0,106,37,93,0.398,1,1,1.0,31,38,0.816,14,25,39,9,7,13,14,30,1996-1997
44,Chris Childs,NYK,10,328.0,104,38,87,0.437,9,26,0.346,19,23,0.826,9,40,49,59,20,0,28,39,1996-1997
45,Kevin Willis,HOU,16,295.0,102,38,95,0.4,0,1,0.0,26,38,0.684,22,53,75,11,9,4,22,47,1996-1997
46,Eddie Jones,LAL,9,283.0,101,33,72,0.458,9,24,0.375,26,35,0.743,8,23,31,29,9,4,13,24,1996-1997
47,Sam Perkins,SEA,12,340.0,101,31,92,0.337,14,45,0.311,25,29,0.862,15,38,53,15,12,12,13,34,1996-1997
48,Charles Oakley,NYK,10,358.0,98,38,86,0.442,0,1,0.0,22,29,0.759,23,65,88,16,22,3,18,37,1996-1997
49,Ike Austin,MIA,15,287.0,98,36,81,0.444,1,4,0.25,25,31,0.806,16,50,66,6,6,7,22,35,1996-1997
50,Antoine Carr,UTA,20,280.0,98,40,83,0.482,0,0,0.0,18,24,0.75,11,29,40,10,6,9,18,64,1996-1997
51,Steve Kerr,CHI,19,341.0,95,33,77,0.429,16,42,0.381,13,14,0.929,4,14,18,20,17,2,8,25,1996-1997
52,Greg Ostertag,UTA,20,459.0,94,34,83,0.41,0,0,0.0,26,35,0.743,52,85,137,6,10,47,18,76,1996-1997
53,Greg Foster,UTA,20,309.0,84,28,72,0.389,2,8,0.25,26,30,0.867,15,41,56,11,4,7,11,53,1996-1997
54,Kevin Johnson,PHX,5,208.0,84,26,88,0.295,3,22,0.136,29,33,0.879,8,14,22,30,13,0,18,15,1996-1997
55,Shandon Anderson,UTA,18,296.0,83,29,66,0.439,5,12,0.417,20,28,0.714,20,28,48,13,11,1,13,28,1996-1997
56,Glen Rice,CHA,3,137.0,83,28,57,0.491,6,16,0.375,21,23,0.913,1,10,11,11,4,1,4,11,1996-1997
57,Dennis Rodman,CHI,19,535.0,79,30,81,0.37,4,16,0.25,15,26,0.577,59,101,160,27,10,4,28,74,1996-1997
58,Rasheed Wallace,POR,4,148.0,79,33,56,0.589,2,5,0.4,11,20,0.55,8,16,24,6,2,2,6,17,1996-1997
59,Wesley Person,PHX,5,163.0,78,25,53,0.472,14,33,0.424,14,18,0.778,5,28,33,6,4,3,4,5,1996-1997
60,David Wingate,SEA,12,192.0,77,28,66,0.424,12,31,0.387,9,13,0.692,13,24,37,14,5,3,9,22,1996-1997
61,Lindsey Hunter,DET,5,201.0,75,29,66,0.439,12,29,0.414,5,7,0.714,4,14,18,6,6,1,1,9,1996-1997
62,Kobe Bryant,LAL,9,133.0,74,21,55,0.382,6,23,0.261,26,30,0.867,1,10,11,11,3,2,14,23,1996-1997
63,Joe Dumars,DET,5,214.0,69,22,61,0.361,6,23,0.261,19,20,0.95,2,7,9,10,5,0,6,9,1996-1997
64,Kenny Anderson,POR,4,169.0,68,22,46,0.478,5,19,0.263,19,20,0.95,2,15,17,19,7,1,11,10,1996-1997
65,Danny Manning,PHX,5,116.0,66,26,45,0.578,0,3,0.0,14,15,0.933,4,26,30,7,4,7,8,21,1996-1997
66,Stephon Marbury,MIN,3,117.0,64,26,65,0.4,6,20,0.3,6,10,0.6,2,10,12,23,2,0,9,9,1996-1997
67,Derek Strong,ORL,5,195.0,61,21,40,0.525,0,1,0.0,19,25,0.76,20,30,50,4,2,2,14,20,1996-1997
68,Jason Kidd,PHX,5,207.0,60,21,53,0.396,8,22,0.364,10,19,0.526,4,26,30,49,11,2,13,11,1996-1997
69,Robert Horry,LAL,9,279.0,60,17,38,0.447,12,28,0.429,14,18,0.778,12,36,48,13,10,7,11,27,1996-1997
70,Sedale Threatt,HOU,16,266.0,59,22,56,0.393,9,30,0.3,6,8,0.75,2,15,17,48,6,4,12,35,1996-1997
71,Terry Mills,DET,5,196.0,59,24,55,0.436,9,26,0.346,2,4,0.5,4,31,35,7,6,0,4,14,1996-1997
72,Rod Strickland,WAS,3,124.0,59,22,52,0.423,1,2,0.5,14,19,0.737,5,13,18,25,3,0,11,8,1996-1997
73,Alan Henderson,ATL,10,136.0,58,19,34,0.559,0,0,0.0,20,26,0.769,11,22,33,0,1,3,7,26,1996-1997
74,Darrell Armstrong,ORL,5,143.0,57,20,42,0.476,6,18,0.333,11,13,0.846,3,18,21,17,8,1,7,6,1996-1997
75,Chris Morris,UTA,20,175.0,57,20,50,0.4,8,25,0.32,9,15,0.6,5,27,32,5,8,3,6,18,1996-1997
76,Juwan Howard,WAS,3,129.0,56,20,44,0.455,0,0,0.0,16,18,0.889,10,8,18,5,2,2,3,9,1996-1997
77,Tracy Murray,WAS,3,87.0,55,17,30,0.567,5,10,0.5,16,17,0.941,3,6,9,2,4,2,0,10,1996-1997
78,Tom Gugliotta,MIN,3,121.0,55,23,52,0.442,3,4,0.75,6,10,0.6,2,14,16,13,7,2,6,13,1996-1997
79,Vlade Divac,CHA,3,116.0,54,21,46,0.457,0,3,0.0,12,15,0.8,13,13,26,10,3,6,6,11,1996-1997
80,J.R. Rider,POR,4,161.0,53,16,43,0.372,6,16,0.375,15,17,0.882,1,7,8,17,3,0,12,11,1996-1997
81,Kevin Garnett,MIN,3,125.0,52,24,51,0.471,1,1,1.0,3,3,1.0,14,14,28,11,4,3,4,6,1996-1997
82,Byron Scott,LAL,8,134.0,51,15,33,0.455,4,11,0.364,17,19,0.895,0,12,12,11,1,0,8,15,1996-1997
83,Jerome Kersey,LAL,9,210.0,49,17,35,0.486,0,1,0.0,15,19,0.789,14,34,48,14,9,6,3,34,1996-1997
84,Otis Thorpe,DET,5,152.0,49,21,41,0.512,0,0,0.0,7,9,0.778,12,20,32,4,2,0,9,21,1996-1997
85,Cliff Robinson,POR,4,161.0,48,17,47,0.362,3,16,0.188,11,16,0.688,12,15,27,12,2,4,10,13,1996-1997
86,Chris Webber,WAS,3,106.0,47,19,30,0.633,5,11,0.455,4,8,0.5,7,17,24,10,2,7,16,18,1996-1997
87,Gerald Wilkins,ORL,5,144.0,47,16,45,0.356,3,9,0.333,12,14,0.857,3,6,9,4,0,2,3,7,1996-1997
88,Loy Vaught,LAC,3,90.0,45,19,31,0.613,1,3,0.333,6,9,0.667,5,22,27,2,3,2,6,12,1996-1997
89,Arvydas Sabonis,POR,4,108.0,45,18,42,0.429,2,8,0.25,7,8,0.875,8,18,26,9,3,3,9,19,1996-1997
90,Calbert Cheaney,WAS,3,120.0,45,18,40,0.45,0,2,0.0,9,12,0.75,6,5,11,4,3,2,5,10,1996-1997
91,Buck Williams,NYK,10,193.0,43,17,35,0.486,0,0,0.0,9,17,0.529,13,27,40,6,3,4,4,34,1996-1997
92,Jason Caffey,CHI,17,167.0,41,15,33,0.455,0,0,0.0,11,14,0.786,25,17,42,15,3,3,12,27,1996-1997
93,Anthony Mason,CHA,3,131.0,39,16,38,0.421,0,0,0.0,7,13,0.538,8,28,36,9,1,1,9,6,1996-1997
94,Dean Garrett,MIN,3,118.0,38,15,29,0.517,0,0,0.0,8,10,0.8,19,16,35,4,2,3,1,11,1996-1997
95,John Crotty,MIA,15,125.0,37,13,33,0.394,5,12,0.417,6,7,0.857,5,6,11,11,4,0,14,15,1996-1997
96,Malik Sealy,LAC,3,79.0,36,12,25,0.48,1,5,0.2,11,15,0.733,1,2,3,5,0,0,5,10,1996-1997
97,Brent Barry,LAC,3,84.0,35,11,27,0.407,5,11,0.455,8,9,0.889,1,6,7,10,4,0,4,10,1996-1997
98,Jud Buechler,CHI,18,138.0,33,13,31,0.419,4,12,0.333,3,5,0.6,9,14,23,5,3,1,1,15,1996-1997
99,Cedric Ceballos,PHX,5,107.0,33,11,33,0.333,3,12,0.25,8,8,1.0,9,17,26,3,4,3,8,12,1996-1997
100,Darrick Martin,LAC,3,77.0,33,11,25,0.44,5,9,0.556,6,9,0.667,1,1,2,13,0,0,2,9,1996-1997
101,Doug West,MIN,3,87.0,33,12,22,0.545,0,2,0.0,9,9,1.0,0,4,4,6,2,1,1,11,1996-1997
102,Willie Anderson,MIA,9,120.0,33,11,30,0.367,2,8,0.25,9,10,0.9,2,15,17,5,4,2,12,20,1996-1997
103,Rodney Rogers,LAC,3,85.0,32,12,29,0.414,2,10,0.2,6,8,0.75,3,4,7,6,4,3,7,13,1996-1997
104,Gary Trent,POR,4,61.0,32,13,29,0.448,0,1,0.0,6,11,0.545,5,7,12,4,0,1,6,11,1996-1997
105,Lorenzen Wright,LAC,3,92.0,31,13,32,0.406,0,0,0.0,5,5,1.0,7,15,22,2,3,2,1,6,1996-1997
106,Tony Delk,CHA,3,85.0,31,13,31,0.419,5,13,0.385,0,0,0.0,5,5,10,6,2,0,2,10,1996-1997
107,Eldridge Recasner,ATL,10,121.0,31,11,26,0.423,4,11,0.364,5,8,0.625,3,8,11,9,2,0,7,9,1996-1997
108,Keith Askins,MIA,12,146.0,30,10,23,0.435,6,12,0.5,4,4,1.0,11,17,28,7,3,2,3,26,1996-1997
109,Nick Anderson,ORL,5,130.0,28,12,36,0.333,4,15,0.267,0,2,0.0,3,26,29,3,3,9,6,8,1996-1997
110,Grant Long,DET,5,86.0,25,8,18,0.444,0,2,0.0,9,11,0.818,4,7,11,3,4,0,0,11,1996-1997
111,Ricky Pierce,CHA,3,87.0,23,11,24,0.458,1,7,0.143,0,0,0.0,1,7,8,4,2,0,3,8,1996-1997
112,Danny Schayes,ORL,5,92.0,22,9,23,0.391,0,0,0.0,4,4,1.0,4,8,12,5,2,0,4,16,1996-1997
113,Lamond Murray,LAC,3,65.0,21,6,20,0.3,2,8,0.25,7,7,1.0,2,9,11,3,2,3,4,7,1996-1997
114,Randy Brown,CHI,17,98.0,21,9,30,0.3,0,0,0.0,3,5,0.6,3,7,10,6,8,2,4,22,1996-1997
115,Charlie Ward,NYK,9,182.0,20,8,27,0.296,1,9,0.111,3,4,0.75,3,22,25,39,13,0,15,18,1996-1997
116,Hot Rod Williams,PHX,5,105.0,20,8,15,0.533,0,0,0.0,4,10,0.4,10,13,23,3,2,8,5,12,1996-1997
117,Travis Knight,LAL,9,93.0,19,8,10,0.8,0,0,0.0,3,4,0.75,3,15,18,3,3,3,2,16,1996-1997
118,Rony Seikaly,ORL,3,86.0,19,7,22,0.318,0,0,0.0,5,7,0.714,5,11,16,0,1,3,4,10,1996-1997
119,Aaron McKie,DET,5,97.0,15,7,20,0.35,1,5,0.2,0,0,0.0,1,9,10,10,6,2,3,12,1996-1997
120,Bo Outlaw,LAC,3,66.0,15,6,11,0.545,0,1,0.0,3,10,0.3,6,8,14,4,1,2,3,5,1996-1997
121,George Muresan,WAS,3,70.0,15,4,9,0.444,0,0,0.0,7,8,0.875,2,16,18,0,0,4,11,6,1996-1997
122,Dennis Scott,ORL,5,94.0,15,6,23,0.261,3,11,0.273,0,0,0.0,2,7,9,5,2,0,2,8,1996-1997
123,Chris Dudley,POR,4,69.0,12,5,11,0.455,0,0,0.0,2,6,0.333,10,18,28,3,2,5,0,19,1996-1997
124,Brian Shaw,ORL,5,82.0,10,3,19,0.158,2,6,0.333,2,4,0.5,1,8,9,8,1,1,8,5,1996-1997
1,Michael Jordan,CHI,18,733.0,552,187,407,0.459,25,62,0.403,153,187,0.818,31,58,89,74,33,6,42,49,1995-1996
2,Karl Malone,UTA,18,725.0,477,188,401,0.469,0,3,0.0,101,176,0.574,47,139,186,79,34,10,45,61,1995-1996
3,Gary Payton,SEA,21,911.0,434,162,334,0.485,41,100,0.41,69,109,0.633,19,89,108,143,37,7,62,69,1995-1996
4,Shawn Kemp,SEA,20,720.0,418,147,258,0.57,0,3,0.0,124,156,0.795,66,142,208,30,24,40,80,84,1995-1996
5,Detlef Schrempf,SEA,21,789.0,336,123,259,0.475,21,57,0.368,69,92,0.75,19,86,105,67,14,5,67,63,1995-1996
6,Jeff Hornacek,UTA,18,644.0,315,104,207,0.502,34,58,0.586,73,82,0.89,22,43,65,60,19,3,27,41,1995-1996
7,Shaquille O'Neal,ORL,12,459.0,310,131,216,0.606,0,0,0.0,48,122,0.393,49,71,120,55,9,15,44,40,1995-1996
8,Scottie Pippen,CHI,18,742.0,305,112,287,0.39,30,105,0.286,51,80,0.638,62,91,153,107,47,16,41,51,1995-1996
9,Penny Hardaway,ORL,12,473.0,280,101,217,0.465,20,55,0.364,58,78,0.744,20,36,56,72,20,4,26,27,1995-1996
10,Hersey Hawkins,SEA,21,713.0,259,76,168,0.452,22,64,0.344,85,95,0.895,17,46,63,46,27,4,33,55,1995-1996
11,Sam Perkins,SEA,21,654.0,258,90,196,0.459,32,87,0.368,46,61,0.754,21,69,90,35,15,6,30,44,1995-1996
12,David Robinson,SAS,10,353.0,236,83,161,0.516,0,0,0.0,70,105,0.667,37,64,101,24,15,25,24,38,1995-1996
13,Steve Smith,ATL,10,421.0,217,75,171,0.439,25,61,0.41,42,52,0.808,15,26,41,32,13,13,16,31,1995-1996
14,John Stockton,UTA,18,679.0,199,70,157,0.446,11,38,0.289,48,59,0.814,14,44,58,195,29,7,58,50,1995-1996
15,Hakeem Olajuwon,HOU,8,329.0,179,75,147,0.51,0,1,0.0,29,40,0.725,17,56,73,31,15,17,29,28,1995-1996
16,Bryon Russell,UTA,18,459.0,172,58,124,0.468,25,53,0.472,31,38,0.816,17,58,75,22,23,9,10,42,1995-1996
17,Patrick Ewing,NYK,8,328.0,172,65,137,0.474,1,2,0.5,41,63,0.651,11,74,85,15,1,25,30,22,1995-1996
18,Mookie Blaylock,ATL,10,426.0,171,61,145,0.421,33,84,0.393,16,24,0.667,13,30,43,64,22,8,29,15,1995-1996
19,Toni Kukoc,CHI,15,439.0,162,59,151,0.391,13,68,0.191,31,37,0.838,19,44,63,58,14,4,26,33,1995-1996
20,Ron Harper,CHI,18,494.0,158,57,134,0.425,15,47,0.319,29,42,0.69,26,41,67,45,25,7,18,38,1995-1996
21,Christian Laettner,ATL,10,334.0,157,59,122,0.484,1,3,0.333,38,54,0.704,27,42,69,15,12,10,21,41,1995-1996
22,Nick Anderson,ORL,11,418.0,156,55,127,0.433,18,63,0.286,28,45,0.622,16,39,55,21,21,5,21,22,1995-1996
23,Sean Elliott,SAS,10,389.0,155,47,117,0.402,10,34,0.294,51,64,0.797,11,28,39,25,11,4,30,24,1995-1996
24,Luc Longley,CHI,18,439.0,150,61,130,0.469,0,0,0.0,28,37,0.757,34,48,82,28,7,25,38,83,1995-1996
25,Vinny Del Negro,SAS,10,379.0,143,57,124,0.46,16,27,0.593,13,19,0.684,4,22,26,29,13,3,6,19,1995-1996
26,Dennis Scott,ORL,12,446.0,136,48,116,0.414,26,69,0.377,14,22,0.636,9,34,43,23,9,1,15,37,1995-1996
27,Dennis Rodman,CHI,18,620.0,135,50,103,0.485,0,0,0.0,35,59,0.593,98,149,247,37,14,8,41,76,1995-1996
28,Horace Grant,ORL,9,334.0,135,61,94,0.649,0,0,0.0,13,15,0.867,31,63,94,13,7,6,6,23,1995-1996
29,Clyde Drexler,HOU,8,292.0,133,49,118,0.415,9,34,0.265,26,34,0.765,15,47,62,40,21,4,20,22,1995-1996
30,John Starks,NYK,8,314.0,128,39,87,0.448,21,45,0.467,29,39,0.744,3,26,29,33,13,1,25,26,1995-1996
31,Avery Johnson,SAS,10,407.0,123,52,121,0.43,0,2,0.0,19,27,0.704,6,30,36,94,20,1,24,21,1995-1996
32,Steve Kerr,CHI,18,357.0,122,39,87,0.448,17,53,0.321,27,31,0.871,3,15,18,31,14,0,13,21,1995-1996
33,Chuck Person,SAS,10,284.0,121,41,77,0.532,25,47,0.532,14,17,0.824,5,35,40,16,2,3,11,32,1995-1996
34,Arvydas Sabonis,POR,5,177.0,118,35,81,0.432,5,9,0.556,43,60,0.717,12,39,51,9,4,3,10,17,1995-1996
35,Grant Long,ATL,10,362.0,114,44,111,0.396,6,24,0.25,20,25,0.8,30,56,86,28,7,3,19,27,1995-1996
36,Chris Morris,UTA,18,321.0,112,45,106,0.425,10,37,0.27,12,16,0.75,24,46,70,19,13,8,14,25,1995-1996
37,Antoine Carr,UTA,18,339.0,109,46,97,0.474,0,0,0.0,17,25,0.68,11,23,34,21,4,14,16,66,1995-1996
38,Robert Horry,HOU,8,308.0,105,37,91,0.407,21,53,0.396,10,23,0.435,15,42,57,24,21,13,15,29,1995-1996
39,Charles Oakley,NYK,8,308.0,105,39,78,0.5,2,6,0.333,25,36,0.694,28,41,69,14,8,0,28,33,1995-1996
40,Rod Strickland,POR,5,202.0,103,37,84,0.44,6,12,0.5,23,36,0.639,12,19,31,42,5,0,12,14,1995-1996
41,Stacey Augmon,ATL,10,314.0,103,35,72,0.486,0,1,0.0,33,40,0.825,9,27,36,27,11,6,17,26,1995-1996
42,Charles Barkley,PHX,4,164.0,102,31,70,0.443,3,12,0.25,37,47,0.787,18,36,54,15,4,4,6,15,1995-1996
43,Anthony Mason,NYK,8,350.0,101,41,78,0.526,0,0,0.0,19,28,0.679,17,45,62,26,4,1,20,20,1995-1996
44,Rik Smits,IND,5,166.0,95,42,77,0.545,0,0,0.0,11,14,0.786,13,24,37,8,2,2,14,20,1995-1996
45,David Benoit,UTA,14,259.0,87,33,70,0.471,14,28,0.5,7,9,0.778,6,31,37,7,1,3,14,17,1995-1996
46,Nate McMillan,SEA,19,385.0,84,28,69,0.406,19,40,0.475,9,14,0.643,13,57,70,52,23,5,20,34,1995-1996
47,Mitch Richmond,SAC,4,146.0,84,24,54,0.444,8,23,0.348,28,35,0.8,3,14,17,12,3,0,15,11,1995-1996
48,Sam Cassell,HOU,8,206.0,83,26,81,0.321,8,29,0.276,23,29,0.793,1,16,17,34,6,1,18,20,1995-1996
49,Derek Harper,NYK,8,293.0,80,29,82,0.354,11,35,0.314,11,15,0.733,0,17,17,38,10,1,14,24,1995-1996
50,Mario Elie,HOU,8,233.0,78,29,66,0.439,9,24,0.375,11,12,0.917,6,16,22,14,7,3,5,17,1995-1996
51,Cedric Ceballos,LAL,4,142.0,76,30,62,0.484,5,16,0.313,11,12,0.917,11,22,33,5,4,1,8,9,1995-1996
52,Cliff Robinson,POR,5,181.0,76,21,61,0.344,6,23,0.261,28,37,0.757,4,14,18,8,7,5,16,19,1995-1996
53,Allan Houston,DET,3,136.0,75,25,58,0.431,7,21,0.333,18,20,0.9,1,7,8,6,0,1,11,11,1995-1996
54,Will Perdue,SAS,10,242.0,74,29,42,0.69,0,0,0.0,16,20,0.8,26,53,79,5,2,4,11,24,1995-1996
55,Kenny Smith,HOU,8,191.0,71,23,53,0.434,12,31,0.387,13,13,1.0,4,8,12,38,5,0,8,14,1995-1996
56,Vincent Askew,SEA,19,345.0,71,24,70,0.343,6,23,0.261,17,28,0.607,5,36,41,26,13,8,28,50,1995-1996
57,Kevin Johnson,PHX,4,151.0,69,27,57,0.474,1,4,0.25,14,17,0.824,2,15,17,43,2,2,11,8,1995-1996
58,Eddie Jones,LAL,4,155.0,69,27,49,0.551,10,19,0.526,5,8,0.625,7,14,21,6,8,1,4,16,1995-1996
59,Chucky Brown,HOU,8,168.0,65,25,45,0.556,0,0,0.0,15,18,0.833,6,18,24,5,3,0,4,17,1995-1996
60,Derrick McKey,IND,5,180.0,64,24,57,0.421,5,12,0.417,11,13,0.846,8,25,33,10,7,1,14,20,1995-1996
61,Magic Johnson,LAL,4,135.0,61,15,39,0.385,3,9,0.333,28,33,0.848,8,26,34,26,0,0,12,3,1995-1996
62,Adam Keefe,UTA,17,178.0,58,23,34,0.676,1,2,0.5,11,17,0.647,9,24,33,2,3,1,8,23,1995-1996
63,Terrell Brandon,CLE,3,125.0,58,21,47,0.447,3,9,0.333,13,15,0.867,1,8,9,24,4,1,11,10,1995-1996
64,Grant Hill,DET,3,115.0,57,22,39,0.564,1,2,0.5,12,14,0.857,4,18,22,11,3,0,8,13,1995-1996
65,Wesley Person,PHX,4,183.0,57,22,56,0.393,9,29,0.31,4,5,0.8,8,15,23,3,3,1,5,7,1995-1996
66,Olden Polynice,SAC,4,141.0,55,24,46,0.522,1,1,1.0,6,9,0.667,16,32,48,3,1,7,3,15,1995-1996
67,Ervin Johnson,SEA,18,253.0,55,23,62,0.371,0,0,0.0,9,11,0.818,28,42,70,7,6,15,14,45,1995-1996
68,Mark Bryant,HOU,8,145.0,54,21,35,0.6,0,0,0.0,12,15,0.8,7,20,27,4,1,2,3,21,1995-1996
69,Bill Wennington,CHI,18,169.0,54,26,50,0.52,0,1,0.0,2,4,0.5,11,19,30,9,4,1,5,30,1995-1996
70,Alonzo Mourning,MIA,3,92.0,54,17,35,0.486,0,0,0.0,20,28,0.714,3,15,18,4,2,3,16,13,1995-1996
71,Greg Ostertag,UTA,15,212.0,53,20,45,0.444,0,0,0.0,13,21,0.619,18,32,50,1,2,21,4,28,1995-1996
72,Howard Eisley,UTA,18,202.0,53,16,42,0.381,3,9,0.333,18,22,0.818,4,18,22,44,3,2,11,29,1995-1996
73,Mark Jackson,IND,5,186.0,53,18,51,0.353,4,18,0.222,13,17,0.765,3,22,25,30,6,0,13,9,1995-1996
74,Alan Henderson,ATL,10,145.0,53,23,40,0.575,0,0,0.0,7,10,0.7,17,10,27,7,1,4,9,20,1995-1996
75,Hubert Davis,NYK,8,145.0,53,17,31,0.548,10,19,0.526,9,11,0.818,4,8,12,4,0,0,7,12,1995-1996
76,Tim Hardaway,MIA,3,110.0,53,20,43,0.465,8,22,0.364,5,7,0.714,1,4,5,17,3,0,15,10,1995-1996
77,Charles Daniel Smith,SAS,10,165.0,51,24,48,0.5,0,0,0.0,3,8,0.375,11,26,37,10,7,10,8,28,1995-1996
78,Felton Spencer,UTA,18,276.0,51,23,53,0.434,0,1,0.0,5,9,0.556,26,28,54,2,5,22,19,58,1995-1996
79,Ricky Pierce,IND,5,133.0,51,16,47,0.34,2,8,0.25,17,20,0.85,3,1,4,15,8,1,12,13,1995-1996
80,Dan Majerle,CLE,3,91.0,50,16,36,0.444,10,23,0.435,8,9,0.889,2,10,12,9,4,2,3,6,1995-1996
81,Danny Manning,PHX,4,90.0,49,22,48,0.458,0,1,0.0,5,8,0.625,4,7,11,5,4,1,6,15,1995-1996
82,Elden Campbell,LAL,4,129.0,48,20,39,0.513,0,1,0.0,8,16,0.5,3,29,32,8,1,9,10,17,1995-1996
83,Tyus Edney,SAC,4,121.0,48,18,42,0.429,2,8,0.25,10,12,0.833,2,10,12,11,8,0,9,11,1995-1996
84,Brian Shaw,ORL,10,217.0,47,18,52,0.346,8,22,0.364,3,4,0.75,6,15,21,46,5,0,19,27,1995-1996
85,Nick Van Exel,LAL,4,137.0,47,16,54,0.296,5,16,0.313,10,13,0.769,4,12,16,27,2,0,11,10,1995-1996
86,Jud Buechler,CHI,17,127.0,46,18,38,0.474,8,21,0.381,2,4,0.5,2,8,10,6,7,0,8,13,1995-1996
87,Sean Rooks,ATL,10,140.0,45,16,28,0.571,0,0,0.0,13,21,0.619,13,14,27,7,4,4,9,35,1995-1996
88,Randy Brown,CHI,16,112.0,44,16,28,0.571,3,6,0.5,9,12,0.75,3,7,10,7,5,1,7,18,1995-1996
89,Joe Dumars,DET,3,123.0,41,16,35,0.457,5,14,0.357,4,4,1.0,5,8,13,11,0,0,7,5,1995-1996
90,Frank Brickowski,SEA,21,206.0,41,16,38,0.421,6,22,0.273,3,4,0.75,2,28,30,11,7,5,20,55,1995-1996
91,Antonio Davis,IND,5,127.0,39,13,25,0.52,0,0,0.0,13,15,0.867,12,19,31,3,3,6,10,12,1995-1996
92,Brian Grant,SAC,4,124.0,39,16,42,0.381,0,0,0.0,7,14,0.5,7,13,20,4,2,7,13,14,1995-1996
93,Lionel Simmons,SAC,4,77.0,38,15,33,0.455,3,9,0.333,5,7,0.714,4,8,12,8,6,2,6,12,1995-1996
94,Dale Davis,IND,5,184.0,36,16,31,0.516,0,0,0.0,4,11,0.364,20,36,56,4,3,6,10,16,1995-1996
95,Vlade Divac,LAL,4,115.0,36,15,35,0.429,1,5,0.2,5,8,0.625,11,19,30,8,0,5,8,10,1995-1996
96,Hot Rod Williams,PHX,4,115.0,36,14,32,0.438,0,0,0.0,8,12,0.667,11,15,26,1,0,7,6,17,1995-1996
97,Craig Ehlo,ATL,9,171.0,36,12,41,0.293,7,23,0.304,5,7,0.714,1,17,18,9,9,2,9,14,1995-1996
98,Otis Thorpe,DET,3,101.0,35,13,24,0.542,0,0,0.0,9,12,0.75,14,21,35,7,0,0,7,9,1995-1996
99,Billy Owens,SAC,4,131.0,33,15,34,0.441,0,4,0.0,3,6,0.5,5,21,26,14,4,1,11,17,1995-1996
100,Charlie Ward,NYK,7,92.0,32,13,27,0.481,3,12,0.25,3,7,0.429,2,7,9,17,11,0,6,9,1995-1996
101,Aaron McKie,POR,5,134.0,31,11,30,0.367,2,8,0.25,7,9,0.778,4,14,18,9,6,2,9,13,1995-1996
102,Anthony Bowie,ORL,12,152.0,30,13,27,0.481,0,0,0.0,4,4,1.0,3,14,17,14,3,2,5,16,1995-1996
103,Sarunas Marciulionis,SAC,4,101.0,29,8,29,0.276,4,18,0.222,9,15,0.6,4,3,7,14,10,0,10,4,1995-1996
